cluster,strain
1,yhc1-3
1,cbf2-1
1,mcd1-73
1,smc1-2
1,chl1
1,smc3-42
1,smc1-259
1,smc3-1
1,dsn1-8
1,dsn1-7
1,nsl1-6
1,chl4
1,mad2
1,rad61
1,irc15
1,spc19-5001
1,mcm21
1,ctf19
1,bub3
1,mps1-417
1,scc4-4
1,swc4-4
1,pds1-128
1,scc2-4
1,cdc28-td
1,spc24-9
1,sli15-3
1,spc105-15
1,ctf4
1,hhf1
1,yer134c
1,ctf18
1,spc105-4
1,mad1
1,hhf2
1,tid3-1
1,ctf13-30
1,stu1-7
1,spc24-10
1,dam1-1
1,ame1-4
1,okp1-5
2,ent4
2,sen1-1
2,eno2
2,bre5
2,sac7
2,sgv1-23
2,ceg1-ts
2,sky1
2,ipl1-2
2,ume6
2,bud13
2,cet1-2
2,tfb4-5001
2,sub1
2,med8-51
2,med6-5001
2,sei1
2,ret2-1
2,sum1
2,ypt1-3
2,bts1
2,gyp1
2,gda1
2,trs20-5001
2,bet5-5001
3,cdc23-1
3,cdc20-1
3,xrs2
3,vps71
3,swr1
3,prp11-ts
3,sec20-1
3,cln3
3,sgv1-35
3,cse1-5002
3,pab1-5001
3,yrb1-51
3,cks1-38
3,slu7-ts2
3,med11-ts
3,cdc4-3
3,cdc4-2
3,dcc1
3,cik1
3,srp1-5001
3,kar3
3,wrs1-5003
3,mps1-3796
3,yhc1-2
3,lsm1
3,nnf1-77
3,sac3
3,ist3
3,rna15-58
3,med7-163
3,rna1-1
3,rna1-s116f
3,yck3
3,snm1-172
3,pop3-5001
3,snm1-5001
3,rba50-5001
3,sgv1-80
3,lge1
3,ssl1-t242i
3,tcd1
3,cct7-5001
3,soh1
3,sua7-c149r
4,prp2-1
4,ycg1-2
4,prp22-1
4,bcy1
4,snt309
4,aim14
4,pol2-12
4,mlp2
4,dip2-5001
4,nsl1-5
4,stu2-10
4,stu2-11
4,prp43-ts2
4,cin8
4,stu2-13
4,sqt1-201
4,shp1
4,stu2-12
4,stu1-6
4,stu1-8
4,bim1
4,cef1-13
4,cin2
4,stu1-12
4,stu1-5
4,scs2
4,yhc1-8
4,fyv7
4,pab1-5004
4,ynl181w-5002
4,duo1-2
4,cct2-5001
4,ynl181w-5001
4,ynl181w-5007
4,ynl181w-5005
4,ynl181w-5006
4,cfd1-5003
4,frq1-1
4,sbp1
5,rpn12-1
5,srm1-g282s
5,pat1
5,nup42
5,yjl049w
5,src1
5,rrp5-delta6
5,pom34
5,asm4
5,srm1-ts
5,ntf2-h104y
5,dam1-19
5,gle2
5,sus1
5,lsm6
5,ecm1
5,kap123
5,nup60
5,srb2
5,cct3-5001
5,dbp5-1
5,nup133
5,nup2
5,thp2
5,mex67-ts5
5,kap95-e126k
5,nup57-e17
5,nup53
5,nup145-r4
5,nup82-5004
5,mog1
5,nup188
5,nup157
5,gle1-2
5,nup57-5001
5,pom152
5,slx9
5,ntf2-5001
5,gle1-4
5,crm1_damp
6,sub2-1
6,puf4
6,rpl8b
6,hpc2
6,esc1
6,nup84
6,cdc20-3
6,xpt1
6,tdp1
6,rxt3
6,rpn11-14
6,sec66
6,sem1
6,avt7
6,rpl9b
6,lte1
6,nup100
6,cof1-8
6,bre2
6,csl4-5001
6,ykr041w
6,tcd2
6,arc1
6,fpr1
6,rpl43a
6,rpl35b
6,xrn1
6,rps29b
6,rrp6
6,pau9
6,dpb4
6,rpl6b
6,rpp1b
6,rpl8a
6,mtr3-ts
6,sap30
6,sds3
6,rxt2
6,pho23
7,tub2-430
7,ase1
7,fis1
7,pac10
7,gim3
7,yke2
7,bfa1
7,bub2
7,cin4
7,kar9
7,kip3
7,ice2
7,clb4
7,dnm1
7,ypt31
7,cap1
7,boi2
7,cmd1-8
7,mon1
7,ccz1
7,yrb2_damp
7,ypt7
7,bni1
7,cdc24-1
7,arc18
7,cdc24-11
7,lst7
7,cyc8
7,acf4
7,rim101
7,act1-121
7,act1-155
7,act1-136
7,nop2-9
7,act1-3
7,act1-112
7,srp40
7,deg1
7,ssa2
7,noc3-5001
7,cdc53-1
7,zrt3
7,sas3
7,nip1-5001
7,iki1
7,uba4
7,urm1
7,cys3
7,met30-9
